Run 1: Time (s),Run 1: Gate State,Run 1: Distance (m),Run 1: Velocity (m/s),Run 1: Acceleration (m/s^2),Run 2: Time (s),Run 2: Gate State,Run 2: Distance (m),Run 2: Velocity (m/s),Run 2: Acceleration (m/s^2),Run 3: Time (s),Run 3: Gate State,Run 3: Distance (m),Run 3: Velocity (m/s),Run 3: Acceleration (m/s^2),Run 4: Time (s),Run 4: Gate State,Run 4: Distance (m),Run 4: Velocity (m/s),Run 4: Acceleration (m/s^2)
0.017,0.000,0.015,0.908,0.060,0.01756,1,0.015,0.856,0.21,0.02876,1,0.015,0.725,14.16,0.03353,1,0.015,0.895,26.68
0.033,0.000,0.030,0.908,-0.030,0.03505,1,0.03,0.858,-0.03,0.04641,1,0.03,0.9,5.61,0.04742,1,0.03,1.901,118.29
0.050,0.000,0.045,0.907,-0.090,0.05254,1,0.045,0.856,-0.13,0.06229,1,0.045,0.944,0.01,0.05397,1,0.045,2.642,107.84
0.066,0.000,0.060,0.904,-0.240,0.07009,1,0.06,0.855,-0.02,0.07818,1,0.06,0.944,-0.1,0.05911,1,0.06,2.927,2.78
0.083,0.000,0.075,0.901,-0.110,0.08763,1,0.075,0.854,-0.14,0.09409,1,0.075,0.942,-0.04,0.06422,1,0.075,2.934,0
0.099,0.000,0.090,0.900,0.030,0.10523,1,0.09,0.85,-0.31,0.11001,1,0.09,0.941,-0.13,0.06934,1,0.09,2.923,-4
0.116,0.000,0.105,0.901,0.040,0.12294,1,0.105,0.846,-0.08,0.12597,1,0.105,0.938,-0.32,0.07448,1,0.105,2.912,-0.33
0.133,0.000,0.120,0.900,-0.190,0.14069,1,0.12,0.843,-0.22,0.14201,1,0.12,0.933,-0.21,0.07964,1,0.12,2.908,-1.53
0.149,0.000,0.135,0.898,0.020,0.15851,1,0.135,0.843,0.18,0.15811,1,0.135,0.933,0.24,0.0848,1,0.135,2.901,-1.19
0.166,0.000,0.150,0.894,-0.470,0.17627,1,0.15,0.841,-0.4,0.17415,1,0.15,0.934,-0.2,0.08998,1,0.15,2.9,0.87
0.183,0.000,0.165,0.891,0.040,0.19418,1,0.165,0.839,0.2,0.19024,1,0.165,0.932,0.01,0.09515,1,0.165,2.903,0.33
0.200,0.000,0.180,0.891,-0.060,0.21201,1,0.18,0.841,-0.02,0.20633,1,0.18,0.931,-0.2,0.10031,1,0.18,2.902,-0.65
0.217,0.000,0.195,0.889,-0.070,0.22986,1,0.195,0.84,-0.13,0.22247,1,0.195,0.928,-0.19,0.10549,1,0.195,2.903,1.2
0.234,0.000,0.210,0.887,-0.240,0.24775,1,0.21,0.838,-0.01,0.23867,1,0.21,0.925,-0.17,0.11065,1,0.21,2.904,-0.98
0.250,0.000,0.225,0.884,-0.120,0.26564,1,0.225,0.837,-0.14,0.25492,1,0.225,0.923,-0.02,0.11582,1,0.225,2.91,3.4
0.267,0.000,0.240,0.883,0.050,0.28359,1,0.24,0.833,-0.3,0.27117,1,0.24,0.923,-0.04,0.12096,1,0.24,2.901,-6.94
0.284,0.000,0.255,0.884,0.050,0.30165,1,0.255,0.829,-0.1,0.28744,1,0.255,0.92,-0.3,0.12616,1,0.255,2.887,1.71
0.301,0.000,0.270,0.883,-0.170,0.31976,1,0.27,0.827,-0.19,0.30379,1,0.27,0.915,-0.22,0.13135,1,0.27,2.888,-1.5
0.318,0.000,0.285,0.881,0.000,0.33794,1,0.285,0.826,0.15,0.32021,1,0.285,0.916,0.24,0.13655,1,0.285,2.879,-1.8
0.335,0.000,0.300,0.878,-0.460,0.35606,1,0.3,0.824,-0.35,0.33656,1,0.3,0.916,-0.19,0.14177,1,0.3,2.877,1.06
0.353,0.000,0.315,0.874,0.040,0.37433,1,0.315,0.823,0.17,0.35296,1,0.315,0.914,0.01,0.14697,1,0.315,2.882,0.64
0.370,0.000,0.330,0.874,-0.070,0.39253,1,0.33,0.824,0.01,0.36937,1,0.33,0.913,-0.24,0.15218,1,0.33,2.881,-0.96
0.387,0.000,0.345,0.872,-0.070,0.41072,1,0.345,0.823,-0.13,0.38584,1,0.345,0.909,-0.26,0.15739,1,0.345,2.883,1.6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
